,Job_Title,Company_Name,Company_Link,Company_location,Company_summary,Salary
0,newOnline Data Analyst - USA,TELUS International AI Inc.,https://www.indeed.com/cmp/Telus-International,"Phoenix, AZ",The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based…,Up to $14.50 an hour
1,Data Analyst I,HealthMark Group,https://www.indeed.com/cmp/Healthmark-Group,Remote,1+ years of data and business analysis.,"$55,000 - $70,000 a year"
2,Junior Data Analyst,Shaker,https://www.indeed.com/cmp/Shaker,Remote,"Due to growing client demand, we have opportunities for data analysts at the junior, mid-, and senior levels.",
3,Data Feed Analyst,PCR,,Remote,Review and verify accuracy of data.,"$75,000 - $100,000 a year"
4,newData Analyst,EshaIT,,Remote,We are looking for a data analyst who will use their strong analytical skills to identify and resolve issues at our growing company.,"$100,000 - $115,000 a year"
5,newData Analyst,Warren Rogers,,Remote,"The analyst reviews data, works proactively with client staff to solve problems, and prepares reports.","From $50,000 a year"
6,newCCAR Data Aggregation Analyst,Bank Client,,"Houston, TX•Remote",CCAR Data Aggregation Analyst - Contract Opportunity - 100% Remote/PST Hours Preferred.,$50 - $70 an hour
7,newEntry Level Data Analyst,TRESUME,,"McLean, VA+2 locations","Has strong background knowledge of SQL, Python and is comfortable extracting large sets of data.",$26 - $30 an hour
8,newData Analyst,"Birdzi, Inc.","https://www.indeed.com/cmp/Birdzi,-Inc.",Remote,A portfolio of data visualization work is required.,"$75,000 - $90,000 a year"
9,newESI Data Analyst,"Legility, LLC","https://www.indeed.com/cmp/Legility,-LLC",Remote,Resolve or elevate issues that arise during data processing requests.,Full-time
10,newJunior Data Analyst/ Entry Level/ Bootcamp,PCS GLOBAL TECH,,"Houston, TX+2 locations•Temporarily Remote",1-3 years of work experience as a data analyst or in related field is preferred.,"$60,000 - $70,000 a year"
11,newEntry Level Data Conversion Analyst,Reynolds and Reynolds,https://www.indeed.com/cmp/The-Reynolds-and-Reynolds-Company,"Dayton, OH 45430",You will also complete migration of customer data from one Reynolds hardware platform to another.,Full-time
12,Data Analyst,Industrial Scientific Corporation,https://www.indeed.com/cmp/Industrial-Scientific-Corporation,Remote,Understand data across systems and identify needed data elements for data analysis and data modeling.,"$100,000 - $120,000 a year"
13,Data Analyst,avansait,,Remote,Understand data and perform data analysis to derive insights and test correctness of the given business requirements.,$60 - $65 an hour
14,Data Analyst,Softnice Inc.,,Remote,"Technical expertise regarding data models, database design development, data mining and segmentation techniques.","$60,000 - $80,000 a year"
15,Data Analyst,Softnice Inc.,,Remote,"Technical expertise regarding data models, database design development, data mining and segmentation techniques.","$60,000 - $80,000 a year"
16,newOnline Data Analyst - USA,TELUS International AI Inc.,https://www.indeed.com/cmp/Telus-International,"Phoenix, AZ",The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based…,Up to $14.50 an hour
17,Data Analyst - Entry Level,HotSchedules,https://www.indeed.com/cmp/Hotschedules,Remote,Interpret data to answer key strategic questions.,
18,Data Analyst,Softnice Inc,,"Katy, TX",Work with a variety of data sources - extracting knowledge and actionable information from massive datasets.,"$70,000 - $80,000 a year"
