,Job_Title,Company_Name,Company_Link,Company_location,Company_summary,Salary
0,Maintenance Team Member -Manufacturing Supply Chain $24/hr,Domino's Supply Chain,https://www.indeed.com/cmp/Domino's,"Ontario, CA 91764","The Maintenance Technician position requires one to have the technical skills to design, evaluate, troubleshoot, repair, and install Bakery equipment.",$24 an hour
1,"Analyst, Supply Chain",The North Face,https://www.indeed.com/cmp/The-North-Face,"Denver, CO 80206 (Cherry Creek area)",Knowledge of supply chain and database applications is a plus.,"$56,160 - $84,240 a year"
2,"Medical Supply Chain Clerk - 1st Shift - Colton, CA",Medline Industries Inc,https://www.indeed.com/cmp/Medline-Industries,"Colton, CA+4 locations","Perform material handling duties including operating of equipment for product receiving, disbursement, inventory checks, and other basic inventory management…",Full-time
3,"newVirtual Freight Broker-Phoenix, AZ",TranMazon DOP,https://www.indeed.com/cmp/Tranmazon-Dop,"Phoenix, AZ 85003+31 locations•Remote",TranMazon an Amazon Delivery Partner are looking for a service-minded freight broker to educate customers on our Transportation Management System (TMS) that are…,"$76,800 - $288,000 a year"
4,Maintenance Tech -Manufacturing Supply Chain $29/hr,Domino's Supply Chain,https://www.indeed.com/cmp/Domino's,"Ontario, CA 91764","The Maintenance Technician position requires one to have the technical skills to design, evaluate, troubleshoot, repair, and install Bakery equipment.",$29 an hour
5,"newAnalyst, Global Supply Chain",General Motors,https://www.indeed.com/cmp/General-Motors,"Marion, IN 46952",Executes deliverables in support of the supply chain organization's business objectives.,
6,"Operations Associate - Logistics (Part-time, Days)",Sharebite,,New York State•Remote,"This role will dive deep into operational management, product roadmapping, project management, and customer experience.",$24 an hour
7,Hourly Warehouse Operations,TARGET,https://www.indeed.com/cmp/Target,"Shafter, CA 93263+42 locations",Wages starting at $21.25/hr* for Warehouse Workers for Nights/Overnights Weekday Shifts and $22.25/hr* premium pay for twelve hour weekend shifts.,From $21.25 an hour
8,newSupply Chain Clerk - Pediatrics,Vidant Medical Center,https://www.indeed.com/cmp/Vidant-Health,"Greenville, NC 27835+2 locations","The Supply Clerk orders, retrieves and stocks patient care unit/divisional supplies.",Full-time
9,"Assistant Storekeeper, MC- Supply Chain- F/T Evening Shift",UC Irvine Health,https://www.indeed.com/cmp/Uc-Irvine-Health,"Anaheim, CA+2 locations","Incumbent orders, receives, distributes, and delivers supplies.",Full-time
10,Supply Chain Worker - Multiple Shifts - $17.15 to $23.15 Sta...,Walmart Distribution Center 6077,,"Moberly, MO 65270+8 locations",You will be lifting heavy cases in extreme climates.,$17.15 - $23.15 an hour
11,Consultant- Supply Chain Operations,"Vizient, Inc.","https://www.indeed.com/cmp/Vizient,-Inc.",Remote,Knowledge of the entire health care supply chain continuum needed.,"$66,500 - $96,500 a year"
12,Supply Chain Clerk,CEVA Logistics,https://www.indeed.com/cmp/Ceva-Logistics,"Louisville, KY 40258+4 locations",Manage standard and routine data in software systems and applications.,$19 - $21 an hour
13,newAssistant Storekeeper,Contra Costa Water District,https://www.indeed.com/cmp/Contra-Costa-Water-District,"Concord, CA 94520",Receiving and inspecting supplies used in water utility.,$35.75 - $43.46 an hour
14,Purchasing Assistant,Town of Glastonbury,https://www.indeed.com/cmp/Town-of-Glastonbury,"Glastonbury, CT","This full-time role in Glastonbury Town Hall is 37.5 hours per week, Monday through Friday from 8:00 a.m. to 4:30 p.m.",$26.92 - $33.63 an hour
15,Ore Supply Chain Analyst,The Chemours Company,https://www.indeed.com/cmp/Chemours,Remote,Experience working in a manufacturing environment with an understanding of the supply chain and supply planning process.,Full-time
16,newSupply Chain Coordinator,MMS LLC,,"Saint Petersburg, FL",Coordinate all supply chain and logistic activities for domestic and international operations.,"$70,000 - $76,000 a year"
17,Supply Chain Rotation Associate,"American Sugar Refining, Inc.","https://www.indeed.com/cmp/American-Sugar-Refining,-Inc.","West Palm Beach, FL","The company produces a full line of grocery, industrial, food service and specialty sweetener products.",
18,"newAnalyst, Global Supply Chain",General Motors,https://www.indeed.com/cmp/General-Motors,"Marion, IN 46952+1 location",Executes deliverables in support of the supply chain organization's business objectives.,
19,"SUPPLY CHAIN TECHNICIAN 1 (FULL TIME, DAY SHIFT)",University of Washington,https://www.indeed.com/cmp/University-of-Washington,"Seattle, WA 98195 (University District area)+7 locations",Inventorying medical supplies using handheld scanner.,"$2,956 - $3,821 a month"
20,Supply Chain Associate Full-Time,Duke University,https://www.indeed.com/cmp/Duke-University,"Durham, NC 27710 (Duke West Campus area)+8 locations",Level 1 General ability and willingness to perform additional job functions (within reason) that are necessary to ensure safe patient care practices as directed…,Full-time
21,Supply Chain Engineer,EngineeringPeople,,Remote,Supply chain: 1 year (Preferred).,Full-time +1
22,Manager Supply Chain Programs 1,Northrop Grumman,https://www.indeed.com/cmp/Northrop-Grumman,"Chandler, AZ 85286+1 location•Remote","Leads supply chain Program execution and is accountable for resource planning, material cost, forecasting, schedule performance, risk/opportunity management,…","$92,000 - $138,000 a year"
23,Supply Chain Specialist,BASF Corporation,,"Port Arthur, TX 77643","Responsible for the accurate and timely reporting of production inputs, outputs, and related run activities into SAP.",$36 an hour
24,Warehouse Supply Apprentice,United States Army,https://www.indeed.com/cmp/U.S.-Army,"Columbia, SC 29201 (Arsenal Hill area)","You’ll oversee incoming supplies and equipment, simplify and standardize maintenance data, and raise the quality and accuracy of performance, cost, and parts…","$2,500 - $5,500 a month"
25,Supply Chain Coordinator,Samsung Electronics,https://www.indeed.com/cmp/Samsung-Electronics-9,"Ridgefield Park, NJ 07660","General knowledge of supply chain operations related to employee’s specific area of work, and limited knowledge of overall supply chain operations.",
26,Supply Chain Analyst - REMOTE,Avantor,https://www.indeed.com/cmp/Avantor,Kentucky•Remote,"Support Data Analysis to identify relevant sources of data to construct metrics and dashboards, and assist in the development and delivery of advanced supply…",Full-time
27,Purchasing Agent,"Vision Motors, Inc",,Remote,This position is responsible for negotiating prices with vendors and tracking orders.,"$48,250 - $80,430 a year"
28,newSupply Chain Director,"Dickey's Barbecue Restaurants, Inc.",https://www.indeed.com/cmp/Dickey's-Barbecue-Pit,"Dallas, TX",Assist with international supply chain as needed.,Full-time
29,Supply Chain Leader,PepsiCo,https://www.indeed.com/cmp/PepsiCo,"Charlotte, NC+7 locations","Our campus hires will be responsible for people and team development, quality performance, cost, service and safety.","$59,300 - $85,900 a year"
30,newBuyer,UCHealth,https://www.indeed.com/cmp/Uchealth,"Aurora, CO",Processes purchase orders and communicates with end-users and suppliers to confirm and track orders.,$22.14 - $28.78 an hour
31,newPROCUREMENT AGENT - SUPPLY CHAIN,The Breakers,https://www.indeed.com/cmp/The-Breakers,"Palm Beach, FL"," As the designated purchasing agents for the hotel, this position works with departmental representatives to source their needs, acts as a liaison…",
32,Purchasing Manager,Schaeffer Family Homes,https://www.indeed.com/cmp/Schaeffer-Family-Homes,"Cherry Hill, NJ",Manage and procure Trade and Vendor relationships.,$30 - $45 an hour
33,Manager of Supply Chain Operations,Phoenix Children's Hospital,https://www.indeed.com/cmp/Phoenix-Children's-Hospital,"Phoenix, AZ",Works closely with department leaders and implements or recommends solutions regarding various supply chain related needs.,
34,newSupply Chain Tech I - Full Time - Days,Baylor Scott & White Health,https://www.indeed.com/cmp/Baylor-Scott-&-White-Health,"Temple, TX 76502+3 locations",Maintains ownership of supply par inventory volume trends and makes adjustments as directed by appropriate Supply Chain Supervisor/Manager/Director.,
35,newSupply Chain Manager,Jukebox Health,,Remote,"Help plan, implement and grow our overall supply chain and logistics capabilities.",
36,Supply Chain Analyst - REMOTE,Avantor,https://www.indeed.com/cmp/Avantor,Kentucky•Remote,"Support Data Analysis to identify relevant sources of data to construct metrics and dashboards, and assist in the development and delivery of advanced supply…",
37,2022 Supply Chain and Engineering Spring Co-op,Johnson & Johnson Family of Companies,https://www.indeed.com/cmp/Johnson-&-Johnson,"Monument, CO+45 locations",Supply Chain and Engineering Co-op Overview.,$21 an hour
38,newGlobal Supply Chain Analyst - Material Flow Coordinator,General Motors,https://www.indeed.com/cmp/General-Motors,"Saginaw, MI 48604",Executes deliverables in support of the supply chain organization's business objectives.,
39,HICKMAN - Auxiliary (Entry Level Logistics),Tenaris,,"Blytheville, AR 72315+1 location","_*Sign-On Bonus up to $2,000*_.",
40,newOR Materials Tech - Supply Chain,Northside Hospital,https://www.indeed.com/cmp/Northside-Hospital-&-Tampa-Bay-Heart-Institute,"Saint Petersburg, FL 33709","Your benefits include 401k, PTO medical, dental, flex spending, life, disability, tuition reimbursement, employee discount program and employee stock purchase…",
41,newSupply Chain Technician - Clinical,SSM Health,https://www.indeed.com/cmp/Ssm-Health,"Shawnee, OK 74804+14 locations",Communicates any supply needs or concerns with management.,
42,newCustomer Care Tech I / Supply Chain,Saint Joseph Hospital,https://www.indeed.com/cmp/Scl-Health,"Denver, CO 80218 (Central East Denver area)+6 locations","Physically stocks, and pick needed supplies for delivery to nursing and ancillary departments.",$15.77 - $21.50 an hour
43,Rotational Supply Chain Specialist (ID: 2100034P),TechnipFMC,https://www.indeed.com/cmp/Technipfmc,"Houston, TX","In each of your rotations, you will be fully-integrated in the group you are supporting, contributing to real projects with real responsibility, building your…","$60,000 a year"
44,CONROE: Supply Chain- Logistic Operator (entry level),Tenaris Conroe,,"Conroe, TX 77301+1 location",Schedule: * This position will be required to work on a *ROTATING/DAY/NIGHT *shift.,$16 - $19 an hour
45,newGlobal Supply Chain Analyst - Material Flow Coordinator,General Motors,https://www.indeed.com/cmp/General-Motors,"Saginaw, MI 48604",Executes deliverables in support of the supply chain organization's business objectives.,
46,HICKMAN - Auxiliary (Entry Level Logistics),Tenaris,,"Blytheville, AR 72315+1 location","_*Sign-On Bonus up to $2,000*_.",Full-time
